,step,id,temperature,humidity
0,1,1,26.456096045596933,69.65563671115349
1,2,1,26.302754787706537,69.63419908187336
2,3,1,26.368523147234182,69.63638969186391
3,4,1,27.00121483792504,69.61814925835081
4,5,1,28.52882875144173,69.5854887648837
5,6,1,26.474501496144065,69.59022962877552
6,7,1,26.65687982818319,69.59350380656723
7,8,1,27.328476678451743,69.57990927473459
8,9,1,28.043926925000036,69.56555374313109
9,10,1,27.126639144941013,69.5536205037124
10,11,1,27.742568210568507,69.5337170899694
11,12,1,27.109894129708024,69.54917352317943
12,13,1,28.156304433482315,69.52581374483111
13,14,1,28.40338505081725,69.5185584109556
14,15,1,27.82412381919062,69.50020013119749
15,16,1,26.969123460630183,69.48592146614729
16,17,1,27.804308174373265,69.46131163405803
17,18,1,27.57863648006967,69.43792624432444
18,19,1,27.19920491135537,69.40130547442702
19,20,1,27.67801537119696,69.37591907060823
20,21,1,27.536783624639458,69.37363145254284
21,22,1,27.611019944726294,69.32941806728876
22,23,1,27.465361773749205,69.28630290545001
23,24,1,28.22194820486598,69.2658007783216
24,25,1,27.249098701714757,69.20769912632365
25,26,1,28.23467309207131,69.1855204796895
26,27,1,28.249119739494052,69.11032864393341
27,28,1,27.20464296931432,69.08320274997804
28,29,1,28.82263901296176,69.00016385136533
29,30,1,29.58282542853033,68.90181485823598
30,31,1,29.754699199562317,68.80725329168722
31,32,1,30.19376968141367,68.8246288927742
32,33,1,29.072945072230727,68.74387699832698
33,34,1,28.02457356655751,68.93848320490953
34,35,1,29.493726674258156,68.95627057401401
35,36,1,29.031322699069353,68.85983475703809
36,37,1,27.0996838369866,69.10296265639171
37,38,1,29.120619606248844,69.13266729110063
38,39,1,27.996006384153652,69.30003597207244
39,40,1,27.527907423694362,69.28459699023816
40,41,1,27.719195949445425,69.30966983992015
41,42,1,28.054106811108625,69.2441834602682
42,43,1,27.4223433305825,69.35774238708478
43,44,1,27.551163559080123,69.31571310861256
44,45,1,26.851313129646652,69.30794886033496
45,46,1,27.99363532886029,69.34909018623195
46,47,1,27.654582147320056,69.2968525470721
47,48,1,28.34343921745974,69.26077043145385
48,49,1,27.200163152295058,69.22227472488436
49,50,1,27.25902396487622,69.18033821869288
50,51,1,28.25935409279601,69.1291118355591
51,52,1,28.177220686799785,69.06438710550958
52,53,1,27.91238200145425,69.08773922245689
53,54,1,27.559073767357706,69.13343356825274
54,55,1,28.576276083338573,69.06573174704486
55,56,1,28.236087524627067,68.97745765472992
56,57,1,27.4337766856817,68.89001641684746
57,58,1,28.656960601690205,68.8003007342239
58,59,1,30.448792572746836,68.63356768830626
59,60,1,31.190419396427792,68.51816099560459
60,61,1,34.11785986774951,68.27619364000545
61,62,1,34.91476479381975,68.03091069183705
62,63,1,39.30611594237139,67.72204126178296
63,64,1,44.62149750338209,67.24046813390834
64,65,1,55.9628418578587,66.57363267154085
65,66,1,79.69019855508714,65.48382429505195
66,67,1,125.79929432713693,64.01068080560812
67,68,1,275.4936344488398,60.765943402712736
68,69,1,87.64857282338757,65.22453605168751
69,70,1,150.13237657853452,63.3299611984319
70,71,1,124.67581397670536,63.994696827365416
71,72,1,126.26665835620221,64.01247176040592
72,73,1,79.04230353512406,65.49762290946725
73,74,1,76.39321282590954,65.72550916392906
74,75,1,125.74313286135471,64.00004139333458
75,76,1,40.32371013543818,67.57588716331226
76,77,1,45.91965577019858,67.27293508980298
77,78,1,55.5659708805017,66.67556056989366
78,79,1,64.20024295444426,66.21029006426481
79,80,1,35.025373806021236,68.08584023271436
80,81,1,38.262316968069655,67.63875289326099
81,82,1,52.374137637374986,66.93709395854131
82,83,1,42.6362252280485,67.44032934774089
83,84,1,28.952097334375036,68.91707686954891
84,85,1,28.870648587978707,68.93555883271794
85,86,1,29.3428031452993,68.82424137257539
86,87,1,29.036309201798755,68.84529787207684
87,88,1,29.517951433478135,68.71831888900465
88,89,1,29.87287420783842,68.5880992003173
89,90,1,30.839587712500943,68.5489191117066
90,91,1,30.376603712715635,68.48109419711038
91,92,1,31.60458665086267,68.44399441897708
92,93,1,33.70048490973315,68.27989511258131
93,94,1,35.996704766008506,68.02500268105152
94,95,1,30.308805191498603,68.64028213320735
95,96,1,28.400784322273466,69.0457581631944
96,97,1,28.7878675035638,68.97988521254172
97,98,1,28.103379011894916,68.92676690092703
98,99,1,29.001165440752985,68.84450357404774
99,100,1,28.788135873686414,68.80631857636014
